FID,the_geom,code,timestamp,precip_quantity,precip_range,temp,temp_min,temp_max,temp_grass_min,wind_speed,wind_speed_unit,wind_direction,wind_peak_speed,humidity_relative,weather_current,pressure,pressure_station_level,sun_duration_24hours,short_wave_from_sky_24hours,cloudiness
synop_data.fid--692cef7e_193ba0b33c1_3cb2,POINT (50.980293 3.816003),6434,2023-06-11T01:00:00,,,19.8,,,,2.214,1,85.4,2.7,64.5,,1014.1,1012.2,,,
synop_data.fid--692cef7e_193ba0b33c1_3cb3,POINT (50.980293 3.816003),6434,2023-06-11T02:00:00,,,19.3,,,,2.264,1,89.1,3.2,67.3,,1014.2,1012.3,,,
synop_data.fid--692cef7e_193ba0b33c1_3cb4,POINT (50.980293 3.816003),6434,2023-06-11T04:00:00,,,15.3,,,,1.299,1,113,2.2,84.9,,1014.2,1012.2,,,
synop_data.fid--692cef7e_193ba0b33c1_3cb5,POINT (50.980293 3.816003),6434,2023-06-11T03:00:00,,,17.9,,,,1.626,1,106.7,3.2,73.4,,1014.1,1012.2,,,
synop_data.fid--692cef7e_193ba0b33c1_3cb6,POINT (50.980293 3.816003),6434,2023-06-11T05:00:00,,,18.4,,,,1.686,1,87.4,2.9,74,,1014.5,1012.5,,,
synop_data.fid--692cef7e_193ba0b33c1_3cb7,POINT (50.980293 3.816003),6434,2023-06-11T06:00:00,0,2,20.8,15.1,,9.6,2.42,1,87.5,3.3,66.2,,1014.6,1012.7,,,
synop_data.fid--692cef7e_193ba0b33c1_3cb8,POINT (50.980293 3.816003),6434,2023-06-11T08:00:00,,,24.9,,,,2.896,1,89.9,4.4,56,,1014.8,1012.9,,,
synop_data.fid--692cef7e_193ba0b33c1_3cb9,POINT (50.980293 3.816003),6434,2023-06-11T07:00:00,,,22.8,,,,3.37,1,91.6,4.4,58.4,,1014.7,1012.8,,,
synop_data.fid--692cef7e_193ba0b33c1_3cba,POINT (50.980293 3.816003),6434,2023-06-11T10:00:00,,,28.1,,,,2.718,1,110,4.8,47.7,,1014.5,1012.6,,,
synop_data.fid--692cef7e_193ba0b33c1_3cbb,POINT (50.980293 3.816003),6434,2023-06-11T09:00:00,,,26.6,,,9.6,1.534,1,84.1,4.4,51.6,,1014.4,1012.5,,,
synop_data.fid--692cef7e_193ba0b33c1_3cbc,POINT (50.980293 3.816003),6434,2023-06-11T11:00:00,,,28.9,,,,3.581,1,79.6,6.2,44.5,,1014.3,1012.5,,,
synop_data.fid--692cef7e_193ba0b33c1_3cbd,POINT (50.980293 3.816003),6434,2023-06-11T12:00:00,0,1,29.6,,,,2.522,1,132.7,7.8,37,,1014.1,1012.2,,,
synop_data.fid--692cef7e_193ba0b33c1_3cbe,POINT (50.980293 3.816003),6434,2023-06-11T13:00:00,,,29.3,,,,2.995,1,93.8,6.2,40.3,,1013.8,1011.9,,,
synop_data.fid--692cef7e_193ba0b33c1_3cbf,POINT (50.980293 3.816003),6434,2023-06-11T14:00:00,,,30.5,,,,3.343,1,88.1,7,36.6,,1013.5,1011.6,,,
synop_data.fid--692cef7e_193ba0b33c1_3cc0,POINT (50.980293 3.816003),6434,2023-06-11T15:00:00,,,30.2,,,,2.906,1,99.6,7,37.7,,1013.1,1011.2,,,
synop_data.fid--692cef7e_193ba0b33c1_3cc1,POINT (50.980293 3.816003),6434,2023-06-11T16:00:00,,,30.4,,,,3.308,1,101.8,7.1,34.6,,1012.7,1010.9,,,
synop_data.fid--692cef7e_193ba0b33c1_3cc2,POINT (50.980293 3.816003),6434,2023-06-11T18:00:00,3.1,2,22.9,,30.9,,3.612,1,260.9,10.2,71.9,,1013.1,1011.2,,,
synop_data.fid--692cef7e_193ba0b33c1_3cc3,POINT (50.980293 3.816003),6434,2023-06-11T17:00:00,,,29.2,,,,2.524,1,123.1,6.1,39.8,,1012.9,1011,,,
synop_data.fid--692cef7e_193ba0b33c1_3cc4,POINT (50.980293 3.816003),6434,2023-06-11T19:00:00,,,22,,,,1.454,1,248.7,4.7,78.1,,1013.4,1011.5,,,
synop_data.fid--692cef7e_193ba0b33c1_3cc5,POINT (50.980293 3.816003),6434,2023-06-11T20:00:00,,,22.6,,,,1.958,1,57.2,2.9,74.7,,1013.9,1011.9,,,
synop_data.fid--692cef7e_193ba0b33c1_3cc6,POINT (50.980293 3.816003),6434,2023-06-11T21:00:00,,,22.9,,,,1.133,1,293.6,6.8,68.2,,1014.6,1012.7,,,
synop_data.fid--692cef7e_193ba0b33c1_3cc7,POINT (50.980293 3.816003),6434,2023-06-11T22:00:00,,,19.7,,,,0,1,,2.4,86.7,,1014.4,1012.4,,,
synop_data.fid--692cef7e_193ba0b33c1_3cc8,POINT (50.980293 3.816003),6434,2023-06-12T01:00:00,,,18.5,,,,1.396,1,248.5,2.3,91.3,,1014.7,1012.8,,,
synop_data.fid--692cef7e_193ba0b33c1_3cc9,POINT (50.980293 3.816003),6434,2023-06-12T02:00:00,,,17.5,,,,1.532,1,282.1,2.3,94.9,,1014.9,1012.9,,,
synop_data.fid--692cef7e_193ba0b33c1_3cca,POINT (50.980293 3.816003),6434,2023-06-12T03:00:00,,,17.8,,,,1.479,1,283.7,2.7,94.9,,1015,1013,,,
synop_data.fid--692cef7e_193ba0b33c1_3ccb,POINT (50.980293 3.816003),6434,2023-06-12T04:00:00,,,16.7,,,,1.491,1,42,2,95.5,,1015,1013,,,
